userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country,title_clean,review_clean,title_normalized,review_normalized,text_clean,text_normalized,text_length,word_count,has_title,has_review,username_clean,title_clean_language,title_clean_language_confidence,title_clean_translated,review_clean_language,review_clean_language_confidence,review_clean_translated
Joaquin4358,Thanks,5,2025-08-16 21:42:15+00:00,526.0.0,False,0,"Thanks for helping us be connected and updated with our family members, classmates and friends.",,us,Thanks,"Thanks for helping us be connected and updated with our family members, classmates and friends.",thanks,"thanks for helping us be connected and updated with our family members, classmates and friends.","Thanks Thanks for helping us be connected and updated with our family members, classmates and friends.","thanks thanks for helping us be connected and updated with our family members, classmates and friends.",102,16,True,True,Joaquin4358,en,0.8500000000000001,Thanks,en,1.0,"Thanks for helping us be connected and updated with our family members, classmates and friends."
We make lemonade,Decent,4,2025-08-16 21:40:25+00:00,526.0.0,False,0,"My algorithm is behaving for a change. As long as you keep the cat memes and the Bible quotes, it’s all good.",,us,Decent,"My algorithm is behaving for a change. As long as you keep the cat memes and the Bible quotes, it’s all good.",decent,"my algorithm is behaving for a change. as long as you keep the cat memes and the bible quotes, it s all good.","Decent My algorithm is behaving for a change. As long as you keep the cat memes and the Bible quotes, it’s all good.","decent my algorithm is behaving for a change. as long as you keep the cat memes and the bible quotes, it s all good.",116,23,True,True,We make lemonade,nl,0.8,Decent,en,1.0,"My algorithm is behaving for a change. As long as you keep the cat memes and the Bible quotes, it’s all good."
Lachelle❤️🌹,The Creator Of Facebook Is Sensitive!!,1,2025-08-16 21:38:40+00:00,526.0.0,False,0,This app is horrible should have been deleted along time ago.,,us,The Creator Of Facebook Is Sensitive! !,This app is horrible should have been deleted along time ago.,the creator of facebook is sensitive! !,this application is horrible should have been deleted along time ago.,The Creator Of Facebook Is Sensitive! ! This app is horrible should have been deleted along time ago.,the creator of facebook is sensitive! ! this application is horrible should have been deleted along time ago.,101,18,True,True,Lachelle❤️🌹,en,1.0,The Creator Of Facebook Is Sensitive! !,en,1.0,This app is horrible should have been deleted along time ago.
JK Gen Merch,JK Gen Merch,4,2025-08-16 20:54:06+00:00,526.0.0,False,0,Legit hindi manloloko,,us,JK Gen Merch,Legit hindi manloloko,jk gen merch,legit hindi manloloko,JK Gen Merch Legit hindi manloloko,jk gen merch legit hindi manloloko,34,6,True,True,JK Gen Merch,de,0.8500000000000001,JK Gen Merch,et,0.95,Not a scammer
Forced to make a nickname.,They made it even worse,2,2025-08-16 20:41:22+00:00,526.0.0,False,0,The FB iPad app has always been kind of a mess with things not loading correctly and insanely bad sorting of posts. Now they moved the Like button to the bottom right for some stupid reason and made some other horrible design decisions.,,us,They made it even worse,The FB iPad app has always been kind of a mess with things not loading correctly and insanely bad sorting of posts. Now they moved the Like button to the bottom right for some stupid reason and made some other horrible design decisions.,they made it even worse,the fb ipad application has always been kind of a mess with things not loading correctly and insanely bad sorting of posts. now they moved the like button to the bottom right for some stupid reason and made some other horrible design decisions.,They made it even worse The FB iPad app has always been kind of a mess with things not loading correctly and insanely bad sorting of posts. Now they moved the Like button to the bottom right for some stupid reason and made some other horrible design decisions.,they made it even worse the fb ipad application has always been kind of a mess with things not loading correctly and insanely bad sorting of posts. now they moved the like button to the bottom right for some stupid reason and made some other horrible design decisions.,260,48,True,True,Forced to make a nickname.,en,1.0,They made it even worse,en,1.0,The FB iPad app has always been kind of a mess with things not loading correctly and insanely bad sorting of posts. Now they moved the Like button to the bottom right for some stupid reason and made some other horrible design decisions.
kellybaby0724,So many fake ccp accounts,1,2025-08-16 20:22:09+00:00,526.0.0,False,0,"Facebook was once a great platform, but it has completely gone downhill. It has abandoned its principles and values, becoming nothing more than a CCP tool working against the free world. I once enjoyed it, but now it’s harmful and misleading. I refuse to promote a platform that fails to deliver real news.",,us,So many fake ccp accounts,"Facebook was once a great platform, but it has completely gone downhill. It has abandoned its principles and values, becoming nothing more than a CCP tool working against the free world. I once enjoyed it, but now it’s harmful and misleading. I refuse to promote a platform that fails to deliver real news.",so many fake ccp accounts,"facebook was once a great platform, but it has completely gone downhill. it has abandoned its principles and values, becoming nothing more than a ccp tool working against the free world. i once enjoyed it, but now it s harmful and misleading. i refuse to promote a platform that fails to deliver real news.","So many fake ccp accounts Facebook was once a great platform, but it has completely gone downhill. It has abandoned its principles and values, becoming nothing more than a CCP tool working against the free world. I once enjoyed it, but now it’s harmful and misleading. I refuse to promote a platform that fails to deliver real news.","so many fake ccp accounts facebook was once a great platform, but it has completely gone downhill. it has abandoned its principles and values, becoming nothing more than a ccp tool working against the free world. i once enjoyed it, but now it s harmful and misleading. i refuse to promote a platform that fails to deliver real news.",332,58,True,True,kellybaby0724,en,1.0,So many fake ccp accounts,en,1.0,"Facebook was once a great platform, but it has completely gone downhill. It has abandoned its principles and values, becoming nothing more than a CCP tool working against the free world. I once enjoyed it, but now it’s harmful and misleading. I refuse to promote a platform that fails to deliver real news."
AungSu jade trading,Social platform,5,2025-08-16 20:19:19+00:00,526.0.0,False,0,greate job,,us,Social platform,greate job,social platform,greate job,Social platform greate job,social platform greate job,26,4,True,True,AungSu jade trading,en,0.8500000000000001,Social platform,ro,0.8,Great job
alba4vr,Newest version doesn’t work,2,2025-08-16 20:04:22+00:00,526.0.0,False,0,Downloaded the latest version and now my app freezes - it won’t do anything.,,us,Newest version doesn’t work,Downloaded the latest version and now my app freezes - it won’t do anything.,newest version doesn t work,downloaded the latest version and now my application freezes - it won t do anything.,Newest version doesn’t work Downloaded the latest version and now my app freezes - it won’t do anything.,newest version doesn t work downloaded the latest version and now my application freezes - it won t do anything.,104,18,True,True,alba4vr,af,0.95,Newest version doesn’t work,en,1.0,Downloaded the latest version and now my app freezes - it won’t do anything.
KittyBeary,Comment sections broken,1,2025-08-16 20:00:08+00:00,526.0.0,False,0,Can you please fix the comment sections? They aren’t working properly!,,us,Comment sections broken,Can you please fix the comment sections? They aren’t working properly!,comment sections broken,can you please repair the comment sections? they aren t working properly!,Comment sections broken Can you please fix the comment sections? They aren’t working properly!,comment sections broken can you please repair the comment sections? they aren t working properly!,94,14,True,True,KittyBeary,fr,1.0,Comment sections broken,en,1.0,Can you please fix the comment sections? They aren’t working properly!
alospi,Excelente red,5,2025-08-16 19:54:00+00:00,526.0.0,False,0,Es una gra fuente de conocimiento en todos los campos del saber.,,us,Excelente red,Es una gra fuente de conocimiento en todos los campos del saber.,excelente red,es una gra fuente de conocimiento en todos los campos del saber.,Excelente red Es una gra fuente de conocimiento en todos los campos del saber.,excelente red es una gra fuente de conocimiento en todos los campos del saber.,78,14,True,True,alospi,ro,0.8,Excellent network,es,1.0,It is a great source of knowledge in all fields of learning.
Spooham,3 hr upload!!?,1,2025-08-16 19:52:21+00:00,526.0.0,False,0,I waited 3 hours for a post with videos to post and after 3 hrs i deleted the app.,,us,3 hr upload? ? ?,I waited 3 hours for a post with videos to post and after 3 hrs i deleted the app.,3 hr upload? ? ?,i waited 3 hours for a post with videos to post and after 3 hrs i deleted the application,3 hr upload? ? ? I waited 3 hours for a post with videos to post and after 3 hrs i deleted the app.,3 hr upload? ? ? i waited 3 hours for a post with videos to post and after 3 hrs i deleted the application,99,24,True,True,Spooham,hr,0.8,3 sata prijenosa? ? ?,en,1.0,I waited 3 hours for a post with videos to post and after 3 hrs i deleted the app.
retiredptown50,👎🏻,1,2025-08-16 18:59:04+00:00,526.0.0,False,0,FB on my iPad indicates new notifications but there isn’t any new notifications listed.  The FB app is updated also.🤷🏻,,us,👎🏻,FB on my iPad indicates new notifications but there isn’t any new notifications listed. The FB app is updated also. 🤷🏻,,fb on my ipad indicates new notifications but there isn t any new notifications listed. the fb application is updated also.,👎🏻 FB on my iPad indicates new notifications but there isn’t any new notifications listed. The FB app is updated also. 🤷🏻,fb on my ipad indicates new notifications but there isn t any new notifications listed. the fb application is updated also.,121,22,True,True,retiredptown50,unknown,0.0,👎🏻,en,1.0,FB on my iPad indicates new notifications but there isn’t any new notifications listed. The FB app is updated also. 🤷🏻
CleanWaterBoys,Facebook,1,2025-08-16 18:43:24+00:00,526.0.0,False,0,Zero sugar. Would not recommend,,us,Facebook,Zero sugar. Would not recommend,facebook,zero sugar. would not recommend,Facebook Zero sugar. Would not recommend,facebook zero sugar. would not recommend,40,6,True,True,CleanWaterBoys,sk,0.8,Facebook,en,1.0,Zero sugar. Would not recommend
Ishak1172,Good,4,2025-08-16 18:40:56+00:00,526.0.0,False,0,Very good,,us,Good,Very good,good,very good,Good Very good,good very good,14,3,True,True,Ishak1172,unknown,0.0,Good,af,0.8,Baie goed
Scoodeany,Just me and the world,4,2025-08-16 18:20:22+00:00,526.0.0,False,0,It’s seems that I’m always gone for the work that I do. So facebook is one way for me to keep up with my kids and grandkids   And I also like reading all of the useless information that comes out. Carry on smartly people. 😎,,us,Just me and the world,It’s seems that I’m always gone for the work that I do. So facebook is one way for me to keep up with my kids and grandkids And I also like reading all of the useless information that comes out. Carry on smartly people. 😎,just me and the world,it s seems that i m always gone for the work that i do. so facebook is one way for me to keep up with my kids and grandkids and i also like reading all of the useless information that comes out. carry on smartly people.,Just me and the world It’s seems that I’m always gone for the work that I do. So facebook is one way for me to keep up with my kids and grandkids And I also like reading all of the useless information that comes out. Carry on smartly people. 😎,just me and the world it s seems that i m always gone for the work that i do. so facebook is one way for me to keep up with my kids and grandkids and i also like reading all of the useless information that comes out. carry on smartly people.,243,50,True,True,Scoodeany,en,1.0,Just me and the world,en,1.0,It’s seems that I’m always gone for the work that I do. So facebook is one way for me to keep up with my kids and grandkids And I also like reading all of the useless information that comes out. Carry on smartly people. 😎
WJJW,Nope,1,2025-08-16 17:53:22+00:00,526.0.0,False,0,"Ever since Zuckerberg bowed to Trump, Facebook has become a platform for lies and conspiracy theories.",,us,Nope,"Ever since Zuckerberg bowed to Trump, Facebook has become a platform for lies and conspiracy theories.",nope,"ever since zuckerberg bowed to trump, facebook has become a platform for lies and conspiracy theories.","Nope Ever since Zuckerberg bowed to Trump, Facebook has become a platform for lies and conspiracy theories.","nope ever since zuckerberg bowed to trump, facebook has become a platform for lies and conspiracy theories.",107,17,True,True,WJJW,unknown,0.0,Nope,en,1.0,"Ever since Zuckerberg bowed to Trump, Facebook has become a platform for lies and conspiracy theories."
Totolgt,Everything,1,2025-08-16 17:39:44+00:00,526.0.0,False,0,You don’t listen to what we tell you like I don’t want to see certain things,,us,Everything,You don’t listen to what we tell you like I don’t want to see certain things,everything,you don t listen to what we tell you like i don t want to see certain things,Everything You don’t listen to what we tell you like I don’t want to see certain things,everything you don t listen to what we tell you like i don t want to see certain things,87,17,True,True,Totolgt,en,0.8500000000000001,Everything,en,1.0,You don’t listen to what we tell you like I don’t want to see certain things
بنكيملمي,لا يوجد,3,2025-08-16 17:29:33+00:00,526.0.0,False,0,ظهور اعلانات غير اخلاقية وتعري واعضاء تناسلية,,us,لا يوجد,ظهور اعلانات غير اخلاقية وتعري واعضاء تناسلية,لا يوجد,ظهور اعلانات غير اخلاقية وتعري واعضاء تناسلية,لا يوجد ظهور اعلانات غير اخلاقية وتعري واعضاء تناسلية,لا يوجد ظهور اعلانات غير اخلاقية وتعري واعضاء تناسلية,53,9,True,True,بنكيملمي,ar,0.8,There is none.,ar,0.95,"The appearance of unethical advertisements, nudity, and genitalia."
Coco’s got the news,Facebook,5,2025-08-16 17:21:25+00:00,526.0.0,False,0,I love this app,,us,Facebook,I love this app,facebook,i love this application,Facebook I love this app,facebook i love this application,24,5,True,True,Coco’s got the news,sk,0.8,Facebook,en,0.8500000000000001,I love this app
The to gguub c to on.,78;(76,3,2025-08-16 17:20:48+00:00,526.0.0,False,0,The EU guy,,us,78; (76,The EU guy,78 76,the eu guy,78; (76 The EU guy,78 76 the eu guy,18,5,True,True,The to gguub c to on.,unknown,0.0,78; (76,en,0.8500000000000001,The EU guy
Fraudmsc,Pleading owner of Facebook never to remove friends suggestion on facebook,2,2025-08-16 16:51:40+00:00,526.0.0,False,0,Mark Zuckerberg please help us with the friend suggestion. Anytime anyone opens facebook friends suggestions come and the next minute it’s gone. Please kindly work on that we love your app that why we haven’t abandoned it yet,,us,Pleading owner of Facebook never to remove friends suggestion on facebook,Mark Zuckerberg please help us with the friend suggestion. Anytime anyone opens facebook friends suggestions come and the next minute it’s gone. Please kindly work on that we love your app that why we haven’t abandoned it yet,pleading owner of facebook never to remove friends suggestion on facebook,mark zuckerberg please help us with the friend suggestion. anytime anyone opens facebook friends suggestions come and the next minute it s gone. please kindly work on that we love your application that why we haven t abandoned it yet,Pleading owner of Facebook never to remove friends suggestion on facebook Mark Zuckerberg please help us with the friend suggestion. Anytime anyone opens facebook friends suggestions come and the next minute it’s gone. Please kindly work on that we love your app that why we haven’t abandoned it yet,pleading owner of facebook never to remove friends suggestion on facebook mark zuckerberg please help us with the friend suggestion. anytime anyone opens facebook friends suggestions come and the next minute it s gone. please kindly work on that we love your application that why we haven t abandoned it yet,299,49,True,True,Fraudmsc,en,1.0,Pleading owner of Facebook never to remove friends suggestion on facebook,en,1.0,Mark Zuckerberg please help us with the friend suggestion. Anytime anyone opens facebook friends suggestions come and the next minute it’s gone. Please kindly work on that we love your app that why we haven’t abandoned it yet
Timeline2025,Timeline,1,2025-08-16 16:48:42+00:00,526.0.0,False,0,I keep seeing the same people’s post on my timeline,,us,Timeline,I keep seeing the same people’s post on my timeline,timeline,i keep seeing the same people s post on my timeline,Timeline I keep seeing the same people’s post on my timeline,timeline i keep seeing the same people s post on my timeline,60,11,True,True,Timeline2025,fi,0.8,Aikajana,en,1.0,I keep seeing the same people’s post on my timeline
Gilbrass,Not Cool,1,2025-08-16 16:33:46+00:00,526.0.0,False,0,Tracking every step one makes is not cool.,,us,Not Cool,Tracking every step one makes is not cool.,not cool,tracking every step one makes is not cool.,Not Cool Tracking every step one makes is not cool.,not cool tracking every step one makes is not cool.,51,10,True,True,Gilbrass,en,0.8500000000000001,Not Cool,en,1.0,Tracking every step one makes is not cool.
Jonathan rye,Porn,1,2025-08-16 15:39:59+00:00,526.0.0,False,0,There is a lot of pornography ads while watching reels and you say this app is for 12+,,us,Porn,There is a lot of pornography ads while watching reels and you say this app is for 12+,porn,there is a lot of pornography ads while watching reels and you say this application is for 12,Porn There is a lot of pornography ads while watching reels and you say this app is for 12+,porn there is a lot of pornography ads while watching reels and you say this application is for 12,91,19,True,True,Jonathan rye,unknown,0.0,Porn,en,1.0,There is a lot of pornography ads while watching reels and you say this app is for 12+
Buck09584,Ads,1,2025-08-16 15:01:36+00:00,526.0.0,False,0,Too many irrelevant and silly ads,,us,Ads,Too many irrelevant and silly ads,ads,too many irrelevant and silly ads,Ads Too many irrelevant and silly ads,ads too many irrelevant and silly ads,37,7,True,True,Buck09584,unknown,0.0,Ads,en,1.0,Too many irrelevant and silly ads
Garface239,It’s a cesspool of thought.,1,2025-08-16 14:58:16+00:00,526.0.0,False,0,All the worst things about humanity lay with in. It’s a trash can of thoughts and prayers with nothing but echos of the past lying in waste and filth. It should be studied in the future to see how it motivated the decline of society and morality. May the founders and investors be held accountable and made examples of. For the sake of man destroy this platform.  There is too much open hate on the site.,,us,It’s a cesspool of thought.,All the worst things about humanity lay with in. It’s a trash can of thoughts and prayers with nothing but echos of the past lying in waste and filth. It should be studied in the future to see how it motivated the decline of society and morality. May the founders and investors be held accountable and made examples of. For the sake of man destroy this platform. There is too much open hate on the site.,it s a cesspool of thought.,all the worst things about humanity lay with in. it s a trash can of thoughts and prayers with nothing but echos of the past lying in waste and filth. it should be studied in the future to see how it motivated the decline of society and morality. may the founders and investors be held accountable and made examples of. for the sake of man destroy this platform. there is too much open hate on the site.,It’s a cesspool of thought. All the worst things about humanity lay with in. It’s a trash can of thoughts and prayers with nothing but echos of the past lying in waste and filth. It should be studied in the future to see how it motivated the decline of society and morality. May the founders and investors be held accountable and made examples of. For the sake of man destroy this platform. There is too much open hate on the site.,it s a cesspool of thought. all the worst things about humanity lay with in. it s a trash can of thoughts and prayers with nothing but echos of the past lying in waste and filth. it should be studied in the future to see how it motivated the decline of society and morality. may the founders and investors be held accountable and made examples of. for the sake of man destroy this platform. there is too much open hate on the site.,431,81,True,True,Garface239,en,1.0,It’s a cesspool of thought.,en,1.0,All the worst things about humanity lay with in. It’s a trash can of thoughts and prayers with nothing but echos of the past lying in waste and filth. It should be studied in the future to see how it motivated the decline of society and morality. May the founders and investors be held accountable and made examples of. For the sake of man destroy this platform. There is too much open hate on the site.
Antanon82,Inappropriate content never reported,1,2025-08-16 14:46:06+00:00,526.0.0,False,0,Inappropriate contents are tolerated. Unsafe social platform. Obnoxious moderators.,,us,Inappropriate content never reported,Inappropriate contents are tolerated. Unsafe social platform. Obnoxious moderators.,inappropriate content never reported,inappropriate contents are tolerated. unsafe social platform. obnoxious moderators.,Inappropriate content never reported Inappropriate contents are tolerated. Unsafe social platform. Obnoxious moderators.,inappropriate content never reported inappropriate contents are tolerated. unsafe social platform. obnoxious moderators.,120,13,True,True,Antanon82,it,1.0,Contenuti inappropriati mai segnalati,en,1.0,Inappropriate contents are tolerated. Unsafe social platform. Obnoxious moderators.
Zyg877,Recent update,1,2025-08-16 14:45:47+00:00,526.0.0,False,0,Whatever you just did has screwed up the notification badges. On my iPad it keeps showing a number of new notifications but new ones do not show up on the actual fb notification list. I noticed this yesterday.,,us,Recent update,Whatever you just did has screwed up the notification badges. On my iPad it keeps showing a number of new notifications but new ones do not show up on the actual fb notification list. I noticed this yesterday.,recent software update,whatever you just did has screwed up the notification badges. on my ipad it keeps showing a number of new notifications but new ones do not show up on the actual fb notification list. i noticed this yesterday.,Recent update Whatever you just did has screwed up the notification badges. On my iPad it keeps showing a number of new notifications but new ones do not show up on the actual fb notification list. I noticed this yesterday.,recent software update whatever you just did has screwed up the notification badges. on my ipad it keeps showing a number of new notifications but new ones do not show up on the actual fb notification list. i noticed this yesterday.,223,40,True,True,Zyg877,ro,0.8,Actualizare recentă,en,1.0,Whatever you just did has screwed up the notification badges. On my iPad it keeps showing a number of new notifications but new ones do not show up on the actual fb notification list. I noticed this yesterday.
