userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country,title_clean,review_clean,title_normalized,review_normalized,text_clean,text_normalized,text_length,word_count,has_title,has_review,username_clean,title_clean_language,title_clean_language_confidence,title_clean_translated,review_clean_language,review_clean_language_confidence,review_clean_translated,title_sentiment_positive,title_sentiment_negative,title_sentiment_neutral,title_sentiment_compound,title_sentiment_class,title_sentiment_intensity,review_sentiment_positive,review_sentiment_negative,review_sentiment_neutral,review_sentiment_compound,review_sentiment_class,review_sentiment_intensity
Yazoo Batman,App and website clearly needs work,2,2025-08-16 22:36:12+00:00,526.0.0,False,0,"At times, it becomes an guessing game when running adds",,us,App and website clearly needs work,"At times, it becomes an guessing game when running adds",application and website clearly needs work,"at times, it becomes an guessing game when running adds","App and website clearly needs work At times, it becomes an guessing game when running adds","application and website clearly needs work at times, it becomes an guessing game when running adds",90,16,True,True,Yazoo Batman,en,1.0,App and website clearly needs work,en,1.0,"At times, it becomes an guessing game when running adds",0.351,0.0,0.649,0.4019,positive,moderate,0.0,0.0,1.0,0.0,neutral,neutral
Grandbady,Delete,1,2025-08-16 22:27:12+00:00,526.0.0,False,0,It needs a choice where u can delete ur account,,us,Delete,It needs a choice where u can delete ur account,delete,it needs a choice where u can delete ur account,Delete It needs a choice where u can delete ur account,delete it needs a choice where u can delete ur account,54,11,True,True,Grandbady,no,0.8,Slett,en,1.0,It needs a choice where u can delete ur account,0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.0,1.0,0.0,neutral,neutral
Pie31415929,Cant use links,1,2025-08-16 22:11:19+00:00,526.0.0,False,0,"You can’t use hyperlinks on this app. They’ve tried, believe me, but this simple, 2007 design is too complicated for them…",,us,Cant use links,"You can’t use hyperlinks on this app. They’ve tried, believe me, but this simple, 2007 design is too complicated for them. . .",cant use links,"you can t use hyperlinks on this application they ve tried, believe me, but this simple, 2007 design is too complicated for them. . .","Cant use links You can’t use hyperlinks on this app. They’ve tried, believe me, but this simple, 2007 design is too complicated for them. . .","cant use links you can t use hyperlinks on this application they ve tried, believe me, but this simple, 2007 design is too complicated for them. . .",141,26,True,True,Pie31415929,et,0.8,I cannot use links.,en,1.0,"You can’t use hyperlinks on this app. They’ve tried, believe me, but this simple, 2007 design is too complicated for them. . .",0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.0,1.0,0.0,neutral,neutral
El calakitas,El calakitas,5,2025-08-16 22:00:05+00:00,526.0.0,False,0,Muy bien,,us,El calakitas,Muy bien,el calakitas,muy bien,El calakitas Muy bien,el calakitas muy bien,21,4,True,True,El calakitas,es,0.8500000000000001,The calakitas,es,0.8500000000000001,Very well,0.0,0.0,1.0,0.0,neutral,neutral,0.705,0.0,0.295,0.3384,positive,moderate
Fay Nation,Enjoy,4,2025-08-16 21:44:50+00:00,526.0.0,False,0,I really enjoy connecting and staying in touch with family and life associates. I also value it’s opportunities like working with Meta to make money.,,us,Enjoy,I really enjoy connecting and staying in touch with family and life associates. I also value it’s opportunities like working with Meta to make money.,enjoy,i really enjoy connecting and staying in touch with family and life associates. i also value it s opportunities like working with meta to make money.,Enjoy I really enjoy connecting and staying in touch with family and life associates. I also value it’s opportunities like working with Meta to make money.,enjoy i really enjoy connecting and staying in touch with family and life associates. i also value it s opportunities like working with meta to make money.,155,26,True,True,Fay Nation,fi,0.8,Nauti,en,1.0,I really enjoy connecting and staying in touch with family and life associates. I also value it’s opportunities like working with Meta to make money.,0.0,0.0,1.0,0.0,neutral,neutral,0.344,0.0,0.656,0.8748,positive,very_strong
Now hey,Love Facebook,5,2025-08-16 21:44:15+00:00,526.0.0,False,0,Nice app 🫰🏻💛,,us,Love Facebook,Nice app 🫰🏻💛,love facebook,nice application,Love Facebook Nice app 🫰🏻💛,love facebook nice application,26,5,True,True,Now hey,sk,0.8,Láska Facebook,en,0.8500000000000001,Nice app 🫰🏻💛,0.0,0.0,1.0,0.0,neutral,neutral,0.538,0.0,0.462,0.7906,positive,strong
Joaquin4358,Thanks,5,2025-08-16 21:42:15+00:00,526.0.0,False,0,"Thanks for helping us be connected and updated with our family members, classmates and friends.",,us,Thanks,"Thanks for helping us be connected and updated with our family members, classmates and friends.",thanks,"thanks for helping us be connected and updated with our family members, classmates and friends.","Thanks Thanks for helping us be connected and updated with our family members, classmates and friends.","thanks thanks for helping us be connected and updated with our family members, classmates and friends.",102,16,True,True,Joaquin4358,en,0.8500000000000001,Thanks,en,1.0,"Thanks for helping us be connected and updated with our family members, classmates and friends.",1.0,0.0,0.0,0.4404,positive,moderate,0.406,0.0,0.594,0.802,positive,very_strong
We make lemonade,Decent,4,2025-08-16 21:40:25+00:00,526.0.0,False,0,"My algorithm is behaving for a change. As long as you keep the cat memes and the Bible quotes, it’s all good.",,us,Decent,"My algorithm is behaving for a change. As long as you keep the cat memes and the Bible quotes, it’s all good.",decent,"my algorithm is behaving for a change. as long as you keep the cat memes and the bible quotes, it s all good.","Decent My algorithm is behaving for a change. As long as you keep the cat memes and the Bible quotes, it’s all good.","decent my algorithm is behaving for a change. as long as you keep the cat memes and the bible quotes, it s all good.",116,23,True,True,We make lemonade,nl,0.8,Decent,en,1.0,"My algorithm is behaving for a change. As long as you keep the cat memes and the Bible quotes, it’s all good.",0.0,0.0,1.0,0.0,neutral,neutral,0.121,0.0,0.879,0.4404,positive,moderate
Lachelle❤️🌹,The Creator Of Facebook Is Sensitive!!,1,2025-08-16 21:38:40+00:00,526.0.0,False,0,This app is horrible should have been deleted along time ago.,,us,The Creator Of Facebook Is Sensitive! !,This app is horrible should have been deleted along time ago.,the creator of facebook is sensitive! !,this application is horrible should have been deleted along time ago.,The Creator Of Facebook Is Sensitive! ! This app is horrible should have been deleted along time ago.,the creator of facebook is sensitive! ! this application is horrible should have been deleted along time ago.,101,18,True,True,Lachelle❤️🌹,en,1.0,The Creator Of Facebook Is Sensitive! !,en,1.0,This app is horrible should have been deleted along time ago.,0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.259,0.741,-0.5423,negative,moderate
JK Gen Merch,JK Gen Merch,4,2025-08-16 20:54:06+00:00,526.0.0,False,0,Legit hindi manloloko,,us,JK Gen Merch,Legit hindi manloloko,jk gen merch,legit hindi manloloko,JK Gen Merch Legit hindi manloloko,jk gen merch legit hindi manloloko,34,6,True,True,JK Gen Merch,de,0.8500000000000001,JK Gen Merch,et,0.95,Legit not a scam,0.568,0.0,0.432,0.3885,positive,moderate,0.5,0.0,0.5,0.4585,positive,moderate
Forced to make a nickname.,They made it even worse,2,2025-08-16 20:41:22+00:00,526.0.0,False,0,The FB iPad app has always been kind of a mess with things not loading correctly and insanely bad sorting of posts. Now they moved the Like button to the bottom right for some stupid reason and made some other horrible design decisions.,,us,They made it even worse,The FB iPad app has always been kind of a mess with things not loading correctly and insanely bad sorting of posts. Now they moved the Like button to the bottom right for some stupid reason and made some other horrible design decisions.,they made it even worse,the fb ipad application has always been kind of a mess with things not loading correctly and insanely bad sorting of posts. now they moved the like button to the bottom right for some stupid reason and made some other horrible design decisions.,They made it even worse The FB iPad app has always been kind of a mess with things not loading correctly and insanely bad sorting of posts. Now they moved the Like button to the bottom right for some stupid reason and made some other horrible design decisions.,they made it even worse the fb ipad application has always been kind of a mess with things not loading correctly and insanely bad sorting of posts. now they moved the like button to the bottom right for some stupid reason and made some other horrible design decisions.,260,48,True,True,Forced to make a nickname.,en,1.0,They made it even worse,en,1.0,The FB iPad app has always been kind of a mess with things not loading correctly and insanely bad sorting of posts. Now they moved the Like button to the bottom right for some stupid reason and made some other horrible design decisions.,0.0,0.437,0.563,-0.4767,negative,moderate,0.047,0.242,0.712,-0.886,negative,very_strong
kellybaby0724,So many fake ccp accounts,1,2025-08-16 20:22:09+00:00,526.0.0,False,0,"Facebook was once a great platform, but it has completely gone downhill. It has abandoned its principles and values, becoming nothing more than a CCP tool working against the free world. I once enjoyed it, but now it’s harmful and misleading. I refuse to promote a platform that fails to deliver real news.",,us,So many fake ccp accounts,"Facebook was once a great platform, but it has completely gone downhill. It has abandoned its principles and values, becoming nothing more than a CCP tool working against the free world. I once enjoyed it, but now it’s harmful and misleading. I refuse to promote a platform that fails to deliver real news.",so many fake ccp accounts,"facebook was once a great platform, but it has completely gone downhill. it has abandoned its principles and values, becoming nothing more than a ccp tool working against the free world. i once enjoyed it, but now it s harmful and misleading. i refuse to promote a platform that fails to deliver real news.","So many fake ccp accounts Facebook was once a great platform, but it has completely gone downhill. It has abandoned its principles and values, becoming nothing more than a CCP tool working against the free world. I once enjoyed it, but now it’s harmful and misleading. I refuse to promote a platform that fails to deliver real news.","so many fake ccp accounts facebook was once a great platform, but it has completely gone downhill. it has abandoned its principles and values, becoming nothing more than a ccp tool working against the free world. i once enjoyed it, but now it s harmful and misleading. i refuse to promote a platform that fails to deliver real news.",332,58,True,True,kellybaby0724,en,1.0,So many fake ccp accounts,en,1.0,"Facebook was once a great platform, but it has completely gone downhill. It has abandoned its principles and values, becoming nothing more than a CCP tool working against the free world. I once enjoyed it, but now it’s harmful and misleading. I refuse to promote a platform that fails to deliver real news.",0.0,0.458,0.542,-0.5233,negative,moderate,0.241,0.184,0.576,0.6542,positive,strong
AungSu jade trading,Social platform,5,2025-08-16 20:19:19+00:00,526.0.0,False,0,greate job,,us,Social platform,greate job,social platform,greate job,Social platform greate job,social platform greate job,26,4,True,True,AungSu jade trading,en,0.8500000000000001,Social platform,ro,0.8,Great job,0.0,0.0,1.0,0.0,neutral,neutral,0.804,0.0,0.196,0.6249,positive,strong
alba4vr,Newest version doesn’t work,2,2025-08-16 20:04:22+00:00,526.0.0,False,0,Downloaded the latest version and now my app freezes - it won’t do anything.,,us,Newest version doesn’t work,Downloaded the latest version and now my app freezes - it won’t do anything.,newest version doesn t work,downloaded the latest version and now my application freezes - it won t do anything.,Newest version doesn’t work Downloaded the latest version and now my app freezes - it won’t do anything.,newest version doesn t work downloaded the latest version and now my application freezes - it won t do anything.,104,18,True,True,alba4vr,af,0.95,Newest version doesn’t work,en,1.0,Downloaded the latest version and now my app freezes - it won’t do anything.,0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.078,0.922,-0.0258,neutral,neutral
KittyBeary,Comment sections broken,1,2025-08-16 20:00:08+00:00,526.0.0,False,0,Can you please fix the comment sections? They aren’t working properly!,,us,Comment sections broken,Can you please fix the comment sections? They aren’t working properly!,comment sections broken,can you please repair the comment sections? they aren t working properly!,Comment sections broken Can you please fix the comment sections? They aren’t working properly!,comment sections broken can you please repair the comment sections? they aren t working properly!,94,14,True,True,KittyBeary,fr,1.0,Comment sections broken,en,1.0,Can you please fix the comment sections? They aren’t working properly!,0.0,0.608,0.392,-0.4767,negative,moderate,0.206,0.0,0.794,0.3802,positive,moderate
alospi,Excelente red,5,2025-08-16 19:54:00+00:00,526.0.0,False,0,Es una gra fuente de conocimiento en todos los campos del saber.,,us,Excelente red,Es una gra fuente de conocimiento en todos los campos del saber.,excelente red,es una gra fuente de conocimiento en todos los campos del saber.,Excelente red Es una gra fuente de conocimiento en todos los campos del saber.,excelente red es una gra fuente de conocimiento en todos los campos del saber.,78,14,True,True,alospi,ro,0.8,Excellent network,es,1.0,It is a great source of knowledge in all fields of learning.,0.787,0.0,0.213,0.5719,positive,moderate,0.272,0.0,0.728,0.6249,positive,strong
Spooham,3 hr upload!!?,1,2025-08-16 19:52:21+00:00,526.0.0,False,0,I waited 3 hours for a post with videos to post and after 3 hrs i deleted the app.,,us,3 hr upload? ? ?,I waited 3 hours for a post with videos to post and after 3 hrs i deleted the app.,3 hr upload? ? ?,i waited 3 hours for a post with videos to post and after 3 hrs i deleted the application,3 hr upload? ? ? I waited 3 hours for a post with videos to post and after 3 hrs i deleted the app.,3 hr upload? ? ? i waited 3 hours for a post with videos to post and after 3 hrs i deleted the application,99,24,True,True,Spooham,hr,0.8,3 sata upload? ? ?,en,1.0,I waited 3 hours for a post with videos to post and after 3 hrs i deleted the app.,0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.0,1.0,0.0,neutral,neutral
retiredptown50,👎🏻,1,2025-08-16 18:59:04+00:00,526.0.0,False,0,FB on my iPad indicates new notifications but there isn’t any new notifications listed.  The FB app is updated also.🤷🏻,,us,👎🏻,FB on my iPad indicates new notifications but there isn’t any new notifications listed. The FB app is updated also. 🤷🏻,,fb on my ipad indicates new notifications but there isn t any new notifications listed. the fb application is updated also.,👎🏻 FB on my iPad indicates new notifications but there isn’t any new notifications listed. The FB app is updated also. 🤷🏻,fb on my ipad indicates new notifications but there isn t any new notifications listed. the fb application is updated also.,121,22,True,True,retiredptown50,unknown,0.0,👎🏻,en,1.0,FB on my iPad indicates new notifications but there isn’t any new notifications listed. The FB app is updated also. 🤷🏻,0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.0,1.0,0.0,neutral,neutral
CleanWaterBoys,Facebook,1,2025-08-16 18:43:24+00:00,526.0.0,False,0,Zero sugar. Would not recommend,,us,Facebook,Zero sugar. Would not recommend,facebook,zero sugar. would not recommend,Facebook Zero sugar. Would not recommend,facebook zero sugar. would not recommend,40,6,True,True,CleanWaterBoys,sk,0.8,Facebook,en,1.0,Zero sugar. Would not recommend,0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.345,0.655,-0.2755,negative,weak
Ishak1172,Good,4,2025-08-16 18:40:56+00:00,526.0.0,False,0,Very good,,us,Good,Very good,good,very good,Good Very good,good very good,14,3,True,True,Ishak1172,unknown,0.0,Good,af,0.8,Baie goed,1.0,0.0,0.0,0.4404,positive,moderate,0.0,0.0,1.0,0.0,neutral,neutral
Scoodeany,Just me and the world,4,2025-08-16 18:20:22+00:00,526.0.0,False,0,It’s seems that I’m always gone for the work that I do. So facebook is one way for me to keep up with my kids and grandkids   And I also like reading all of the useless information that comes out. Carry on smartly people. 😎,,us,Just me and the world,It’s seems that I’m always gone for the work that I do. So facebook is one way for me to keep up with my kids and grandkids And I also like reading all of the useless information that comes out. Carry on smartly people. 😎,just me and the world,it s seems that i m always gone for the work that i do. so facebook is one way for me to keep up with my kids and grandkids and i also like reading all of the useless information that comes out. carry on smartly people.,Just me and the world It’s seems that I’m always gone for the work that I do. So facebook is one way for me to keep up with my kids and grandkids And I also like reading all of the useless information that comes out. Carry on smartly people. 😎,just me and the world it s seems that i m always gone for the work that i do. so facebook is one way for me to keep up with my kids and grandkids and i also like reading all of the useless information that comes out. carry on smartly people.,243,50,True,True,Scoodeany,en,1.0,Just me and the world,en,1.0,It’s seems that I’m always gone for the work that I do. So facebook is one way for me to keep up with my kids and grandkids And I also like reading all of the useless information that comes out. Carry on smartly people. 😎,0.0,0.0,1.0,0.0,neutral,neutral,0.146,0.051,0.803,0.6369,positive,strong
WJJW,Nope,1,2025-08-16 17:53:22+00:00,526.0.0,False,0,"Ever since Zuckerberg bowed to Trump, Facebook has become a platform for lies and conspiracy theories.",,us,Nope,"Ever since Zuckerberg bowed to Trump, Facebook has become a platform for lies and conspiracy theories.",nope,"ever since zuckerberg bowed to trump, facebook has become a platform for lies and conspiracy theories.","Nope Ever since Zuckerberg bowed to Trump, Facebook has become a platform for lies and conspiracy theories.","nope ever since zuckerberg bowed to trump, facebook has become a platform for lies and conspiracy theories.",107,17,True,True,WJJW,unknown,0.0,Nope,en,1.0,"Ever since Zuckerberg bowed to Trump, Facebook has become a platform for lies and conspiracy theories.",0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.307,0.693,-0.7351,negative,strong
Totolgt,Everything,1,2025-08-16 17:39:44+00:00,526.0.0,False,0,You don’t listen to what we tell you like I don’t want to see certain things,,us,Everything,You don’t listen to what we tell you like I don’t want to see certain things,everything,you don t listen to what we tell you like i don t want to see certain things,Everything You don’t listen to what we tell you like I don’t want to see certain things,everything you don t listen to what we tell you like i don t want to see certain things,87,17,True,True,Totolgt,en,0.8500000000000001,Everything,en,1.0,You don’t listen to what we tell you like I don’t want to see certain things,0.0,0.0,1.0,0.0,neutral,neutral,0.312,0.0,0.688,0.5994,positive,moderate
بنكيملمي,لا يوجد,3,2025-08-16 17:29:33+00:00,526.0.0,False,0,ظهور اعلانات غير اخلاقية وتعري واعضاء تناسلية,,us,لا يوجد,ظهور اعلانات غير اخلاقية وتعري واعضاء تناسلية,لا يوجد,ظهور اعلانات غير اخلاقية وتعري واعضاء تناسلية,لا يوجد ظهور اعلانات غير اخلاقية وتعري واعضاء تناسلية,لا يوجد ظهور اعلانات غير اخلاقية وتعري واعضاء تناسلية,53,9,True,True,بنكيملمي,ar,0.8,There is none.,ar,0.95,"Appearance of unethical advertisements, nudity, and genitalia.",0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.355,0.645,-0.5106,negative,moderate
Coco’s got the news,Facebook,5,2025-08-16 17:21:25+00:00,526.0.0,False,0,I love this app,,us,Facebook,I love this app,facebook,i love this application,Facebook I love this app,facebook i love this application,24,5,True,True,Coco’s got the news,sk,0.8,Facebook,en,0.8500000000000001,I love this app,0.0,0.0,1.0,0.0,neutral,neutral,0.583,0.0,0.417,0.6369,positive,strong
The to gguub c to on.,78;(76,3,2025-08-16 17:20:48+00:00,526.0.0,False,0,The EU guy,,us,78; (76,The EU guy,78 76,the eu guy,78; (76 The EU guy,78 76 the eu guy,18,5,True,True,The to gguub c to on.,unknown,0.0,78; (76,en,0.8500000000000001,The EU guy,0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.0,1.0,0.0,neutral,neutral
Fraudmsc,Pleading owner of Facebook never to remove friends suggestion on facebook,2,2025-08-16 16:51:40+00:00,526.0.0,False,0,Mark Zuckerberg please help us with the friend suggestion. Anytime anyone opens facebook friends suggestions come and the next minute it’s gone. Please kindly work on that we love your app that why we haven’t abandoned it yet,,us,Pleading owner of Facebook never to remove friends suggestion on facebook,Mark Zuckerberg please help us with the friend suggestion. Anytime anyone opens facebook friends suggestions come and the next minute it’s gone. Please kindly work on that we love your app that why we haven’t abandoned it yet,pleading owner of facebook never to remove friends suggestion on facebook,mark zuckerberg please help us with the friend suggestion. anytime anyone opens facebook friends suggestions come and the next minute it s gone. please kindly work on that we love your application that why we haven t abandoned it yet,Pleading owner of Facebook never to remove friends suggestion on facebook Mark Zuckerberg please help us with the friend suggestion. Anytime anyone opens facebook friends suggestions come and the next minute it’s gone. Please kindly work on that we love your app that why we haven’t abandoned it yet,pleading owner of facebook never to remove friends suggestion on facebook mark zuckerberg please help us with the friend suggestion. anytime anyone opens facebook friends suggestions come and the next minute it s gone. please kindly work on that we love your application that why we haven t abandoned it yet,299,49,True,True,Fraudmsc,en,1.0,Pleading owner of Facebook never to remove friends suggestion on facebook,en,1.0,Mark Zuckerberg please help us with the friend suggestion. Anytime anyone opens facebook friends suggestions come and the next minute it’s gone. Please kindly work on that we love your app that why we haven’t abandoned it yet,0.0,0.203,0.797,-0.3724,negative,moderate,0.389,0.056,0.556,0.9517,positive,very_strong
Timeline2025,Timeline,1,2025-08-16 16:48:42+00:00,526.0.0,False,0,I keep seeing the same people’s post on my timeline,,us,Timeline,I keep seeing the same people’s post on my timeline,timeline,i keep seeing the same people s post on my timeline,Timeline I keep seeing the same people’s post on my timeline,timeline i keep seeing the same people s post on my timeline,60,11,True,True,Timeline2025,fi,0.8,Aikajana,en,1.0,I keep seeing the same people’s post on my timeline,0.0,0.0,1.0,0.0,neutral,neutral,0.0,0.0,1.0,0.0,neutral,neutral
